Campaign ID,Campaign Name,Campaign Code,Code Used,Code Quota,Campaign Start Date,Campaign End Date,Promo Duration
471,ANGPAO DOKU ,DOKUANGPAO100,10,500,"February 7, 2019, 00:00","February 28, 2019, 23:59",21 days
96,SUKA ERAFONE,SUKADOKU,16,50,"May 30, 2016, 00:00","June 5, 2016, 23:59",6 days
509,Thank DOKU its Friday,TDIFASMARAKU1,0,100,"May 17, 2019, 00:00","May 19, 2019, 23:59",2 days
512,DOKU CEBAN,CEBANMUSIC5,38,250,"May 25, 2019, 00:00","June 10, 2019, 23:59",16 days
854,Saatnya Ragnarok,ROODOKUNIPIN,144,"1,000","June 21, 2023, 00:00","June 30, 2023, 23:59",9 days
825,CEBAN,TAGIHANCEBANFEB2,"1,488","1,500","January 25, 2023, 00:00","February 10, 2023, 23:59",16 days
265,DOKU TARQ DATA,DOKUTARQDATA,0,20,"October 20, 2017, 00:00","November 5, 2017, 23:59",16 days
44,TEST EVI,EVI2,1,15,"February 9, 2016, 00:00","February 10, 2016, 23:59",1 days
481,DOKU CEBAN,CEBANTAGIHAN3,245,500,"March 25, 2019, 00:00","April 10, 2019, 23:59",16 days
57,Test XL 3,LONDON25,0,6,"March 14, 2016, 00:00","March 15, 2016, 23:59",1 days
272,Pasar GENIT x bonusDOKU - BookMyShow,BONUSBMS,0,100,"October 27, 2017, 00:00","December 5, 2017, 23:59",39 days
718,testinhceban,testceban20,0,20,"August 25, 2021, 00:00","August 26, 2021, 23:59",1 days
150,PROMO INDOSAT 250,ISAT250,9,100,"September 21, 2016, 00:00","December 31, 2016, 23:59",101 days
416,DOKU HEMAT,DOKUHEMAT20,1,100,"August 1, 2018, 00:00","August 31, 2018, 23:59",30 days
31,PROMOCODE7,PROMOCODE7,1,1,"January 5, 2016, 00:00","January 5, 2016, 23:59",0 days
378,"TEST Sushi roll , genflix and G-tunes ",TESTPROMO,0,10,"April 25, 2018, 00:00","April 26, 2018, 23:59",1 days
764,TESTCAMPAIGNCEBAN1234,TESTCAMPAIGNCEBAN1234,1,100,"January 24, 2022, 00:00","January 25, 2022, 23:59",1 days
78,Test Suka,TS1000,0,12,"May 13, 2016, 00:00","May 16, 2016, 23:59",3 days
309,Jakcloth Spotify,OBRALSPOTIFY,2,200,"December 6, 2017, 00:00","December 31, 2017, 23:59",25 days
395,OKTAGON RH,OKTAGONRH,0,5,"May 3, 2018, 00:00","May 5, 2018, 23:59",2 days
503,Thank DOKU its Friday,TDIFAS,0,50,"May 10, 2019, 00:00","May 12, 2019, 23:59",2 days
247,Bonus Pulsa Data,BONUSPULSADATA,258,"3,000","August 15, 2017, 00:00","September 4, 2017, 23:59",20 days
508,Thank DOKU Its Friday,TDIFOOD,0,100,"May 17, 2019, 00:00","May 19, 2019, 23:59",2 days
740,CEBAN,CEBANGAMESDEC,51,500,"November 25, 2021, 00:00","December 10, 2021, 23:59",15 days
8,Promocodee,PromocodeE,1,2,"December 29, 2015, 00:00","December 30, 2015, 23:59",1 days
450,BIGO PROMO,BIGOTEN1,1,10,"November 7, 2018, 00:00","November 10, 2018, 23:59",3 days
218,test xl,testingxlpaket,0,5,"July 20, 2017, 00:00","July 23, 2017, 23:59",3 days
360,DOKU PEDAS THE BODYSHOP,PEDASHOP,0,200,"March 30, 2018, 00:00","May 1, 2018, 23:59",32 days
520,DOKU CEBAN,CEBANMOVIE6,192,250,"June 25, 2019, 00:00","July 10, 2019, 23:59",15 days
149,PROMO INDOSAT 150,ISAT150,21,150,"September 21, 2016, 00:00","December 31, 2016, 23:59",101 days
808,CEBAN,TAGIHANCEBANOCT,"1,473","1,500","October 25, 2022, 00:00","November 10, 2022, 23:59",16 days
217,Lazada Pulsa more 150K,LZDPULSABIG,0,150,"June 21, 2017, 00:00","September 30, 2017, 23:59",101 days
413,SPOTIFY CEBAN JULY ,SPOTIFYCEBAN7,100,100,"July 25, 2018, 00:00","August 10, 2018, 23:59",16 days
683,BIKIN UNTUNG,ANGPAOUNIPIN25,499,500,"March 8, 2021, 00:00","April 8, 2021, 23:59",31 days
739,ISOMEN,PRODIADOKU,1,250,"November 15, 2021, 00:00","December 15, 2021, 23:59",30 days
803,CEBAN,TAGIHANCEBANOCTOBER,"1,484","1,500","September 25, 2022, 00:00","October 10, 2022, 23:59",15 days
578,ANGPAO DOKU 2020,ANGPAOTBS,0,250,"January 20, 2020, 00:00","March 10, 2020, 23:59",50 days
828,SAATNYA BITTIME,DOKUBITTIME,128,"1,500","February 15, 2023, 00:00","March 15, 2023, 23:59",28 days
889,CEBAN,DECEMBERJEMPOLANBILLER,"1,486","1,500","November 25, 2023, 00:00","December 10, 2023, 23:59",15 days
563,DOKU CEBAN ,CEBANMUSIC11,20,250,"November 25, 2019, 00:00","December 10, 2019, 23:59",15 days
109,CODA STEAM,DOKUSTEAM,84,"1,000","June 22, 2016, 00:00","October 31, 2016, 23:59",131 days
914,CEBAN,CEBANTAGIHANJANUARI,"1,499","1,500","June 25, 2024, 00:00","July 10, 2024, 23:59",15 days
281,Pasar GENIT x bonusDOKU - AirAsia,BONUSAIRASIA,0,100,"October 27, 2017, 00:00","December 5, 2017, 23:59",39 days
710,CEBAN,MUSICNYAJULI,5,250,"July 25, 2021, 00:00","August 10, 2021, 23:59",16 days
212,Lazada Pulsa 25K,LZDPULSA25,50,50,"June 21, 2017, 00:00","September 30, 2017, 23:59",101 days
